Literal,data1,data2,data3,data4,data5,ES Time elapsed,# ES Hits,DBpedia in first 100,100 or less,Hits
Legal Aspects of International Organization,0924-4883,,2,1,Rettsvitenskap,4339,62,0.0,62.0,"[u'http://ld.zdb-services.de/resource/2709134-X', u'http://ld.zdb-services.de/resource/790351-0', u'http://lodlaundromat.org/.well-known/genid/7236896be7cdac06b6abe63ccc6bbc9f#681536', u'http://lod.hebis.de/resource/00327777', u'http://lodlaundromat.org/.well-known/genid/7236896be7cdac06b6abe63ccc6bbc9f#680982', u'http://lodlaundromat.org/.well-known/genid/6e806998498b8d8a49976461795c6f84#784460', u'http://lobid.org/resource/HT002751523', u'http://lodlaundromat.org/.well-known/genid/7236896be7cdac06b6abe63ccc6bbc9f#685171', u'http://lod.hebis.de/resource/00327777', u'http://id.loc.gov/authorities/names/n42015186', u'http://lodlaundromat.org/.well-known/genid/7236896be7cdac06b6abe63ccc6bbc9f#13175', u'http://lodlaundromat.org/.well-known/genid/7236896be7cdac06b6abe63ccc6bbc9f#697440', u'http://lodlaundromat.org/.well-known/genid/e39f21a27a99c997657b64e99b634b73#1322979', u'http://lodlaundromat.org/.well-known/genid/e39f21a27a99c997657b64e99b634b73#1323313', u'http://lodlaundromat.org/.well-known/genid/e39f21a27a99c997657b64e99b634b73#1323361', u'http://lodlaundromat.org/.well-known/genid/e39f21a27a99c997657b64e99b634b73#1323657', u'http://lodlaundromat.org/.well-known/genid/e39f21a27a99c997657b64e99b634b73#1331003', u'http://lodlaundromat.org/.well-known/genid/e39f21a27a99c997657b64e99b634b73#1332234', u'http://lod.b3kat.de/title/BV002498008', u'http://lod.b3kat.de/title/BV004656726']"
Legal Issues of European Integration,0377-0915,2212-1870,2,1,Rettsvitenskap,1158,56,0.0,56.0,"[u'http://lod.hebis.de/resource/04712080', u'http://lobid.org/resource/HT005927666', u'http://lobid.org/resource/HT006234927', u'http://lobid.org/resource/HT006088928', u'http://lobid.org/resource/HT006003413', u'http://lobid.org/resource/HT006092932', u'http://lobid.org/resource/HT006026972', u'http://lobid.org/resource/HT010834372', u'http://ld.zdb-services.de/resource/125168-5', u'http://lod.hebis.de/resource/04712080', u'http://lobid.org/resource/HT013246210', u'http://lobid.org/resource/HT007503784', u'http://lobid.org/resource/HT005766452', u'http://lobid.org/resource/ZDB125168-5', u'http://lobid.org/resource/HT005772090', u'http://lobid.org/resource/HT005691650', u'http://lobid.org/resource/HT005926994', u'http://lobid.org/resource/HT005989056', u'http://lod.b3kat.de/title/BV002543623', u'http://lobid.org/resource/HT006049982']"
Leiden Journal of International Law,0922-1565,1478-9698,2,1,Rettsvitenskap,404,58,11.0,58.0,"[u'http://ld.zdb-services.de/resource/2017891-8', u'http://www.hero.ac.uk/rae/#Journal-leiden_journal_of_international_law:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-leiden_journal_of_international_law:1999', u'http://www.hero.ac.uk/rae/#Journal-leiden_journal_of_international_law:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-leiden_journal_of_international_law:1999', u'http://wikidata.dbpedia.org/resource/Q15759603', u'http://era.rkbexplorer.com/id/ERAID-33579', u'http://www.wikidata.org/entity/Q15759603SEFC75590-805B-4C8E-A790-7A0CCA9DA75E', u'http://www.wikidata.org/entity/Q15759603', u'http://www.wikidata.org/entity/Q15759603', u'http://lod.hebis.de/resource/06757393', u'http://lod.b3kat.de/title/BV002723879', u'http://lod.hebis.de/resource/09201861', u'http://rae2001.rkbexplorer.com/id/resource-Journal-leiden_journal_of_international_law:1996', u'http://www.hero.ac.uk/rae/#Journal-leiden_journal_of_international_law:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-leiden_journal_of_international_law:1997', u'http://wikidata.dbpedia.org/resource/Q15759603', u'http://wikidata.dbpedia.org/resource/Q15759603', u'http://wikidata.dbpedia.org/resource/Q15759603', u'http://lobid.org/resource/ZDB1012693-4']"
Linguistics,0024-3949,1613-396X,1,2,Lingvistikk,10,188677,13.0,100.0,"[u'http://ld.zdb-services.de/resource/3382-0', u'http://ld.zdb-services.de/resource/2148880-0', u'http://ld.zdb-services.de/resource/2186953-4', u'http://dbpedia.org/resource/Linguistics_(journal)', u'http://dbpedia.org/resource/Linguistics_(journal)', u'http://dbpedia.org/resource/LinguisticS', u'http://dbpedia.org/resource/Category:Linguistics', u'http://dbpedia.org/resource/Galician-Asturian', u'http://dbpedia.org/resource/Linguistics', u'http://dbpedia.org/resource/A_Mouthful_of_Air', u'http://dbpedia.org/resource/Morphological_parsing', u'http://dbpedia.org/resource/Old_English_subjunctive', u'http://dbpedia.org/resource/Linguistic_modality', u'http://dbpedia.org/resource/Linguistics_(journal)', u'http://dbpedia.org/resource/LinguisticS', u'http://dbpedia.org/resource/Linguistics_(journal)', u'http://www.vox.com/explore/interests/linguistics', u'http://www.livejournal.com/interests.bml?int=linguistics', u'http://www.livejournal.com/interests.bml?int=linguistics', u'http://www4.wiwiss.fu-berlin.de/bookmashup/subject/Linguistics']"
Linguistics and Philosophy,0165-0157,1573-0549,1,2,Lingvistikk,2396,920,30.0,100.0,"[u'http://ld.zdb-services.de/resource/131719-2', u'http://dbpedia.org/resource/Linguistics_and_Philosophy', u'http://dbpedia.org/resource/Linguistics_and_Philosophy', u'http://www.hero.ac.uk/rae/#Journal-linguistics_and_philosophy:1995', u'http://ocw.mit.edu/OcwWeb/Linguistics-and-Philosophy/24-941JSpring-2007/CourseHome/', u'http://dbpedia.org/resource/Stephen_Neale', u'http://dbpedia.org/resource/Linguistics_and_Philosophy', u'http://dspace.mit.edu/handle/1721.1/8158', u'http://kisti.rkbexplorer.com/id/JOU_00000000000000002997', u'http://kisti.rkbexplorer.com/id/JOU_00000000000000003000', u'http://irit.rkbexplorer.com/id/pub-ref-11057ddb243280aa983e4e4b3005c940', u'http://irit.rkbexplorer.com/id/pub-ref-11057ddb243280aa983e4e4b3005c940', u'http://eprints.rkbexplorer.com/id/kfupm/journal-79dcda1d47d55f5a0d27c563de299be4', u'http://dspace.mit.edu/handle/1721.1/11686', u'http://irit.rkbexplorer.com/id/pub-ref-11057ddb243280aa983e4e4b3005c940', u'http://irit.rkbexplorer.com/id/pub-ref-11057ddb243280aa983e4e4b3005c940', u'http://ocw.mit.edu/OcwWeb/Special-Programs/SP-601JSpring-2008/CourseHome/', u'http://kisti.rkbexplorer.com/id/JOU_00000000000000002999', u'http://irit.rkbexplorer.com/id/pub-ref-11057ddb243280aa983e4e4b3005c940', u'http://rae2001.rkbexplorer.com/id/resource-Journal-linguistics_and_philosophy:1996']"
Marine Environmental Research,0141-1136,1879-0291,1,2,"Farmasi, farmakologi og toksikologi",1378,116,8.0,100.0,"[u'http://ld.zdb-services.de/resource/1502505-6', u'http://rae2001.rkbexplorer.com/id/resource-Journal-marine_environmental_research:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-marine_environmental_research:2000', u'http://www.hero.ac.uk/rae/#Journal-marine_environmental_research:1998', u'http://www.rdfabout.com/rdf/usgov/fec/employers/marine%20environmental%20research%20insti', u'http://rae2001.rkbexplorer.com/id/resource-Journal-marine_environmental_research:1999', u'http://lodlaundromat.org/.well-known/genid/e39f21a27a99c997657b64e99b634b73#2071724', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#1415223', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#1806077', u'http://wikidata.dbpedia.org/resource/Q15724548', u'http://www.wikidata.org/entity/Q15724548S1839E246-F8AF-4EDC-BBB6-D77976CCF6E8', u'http://lobid.org/resource/ZDB1502505-6', u'http://www.wikidata.org/entity/Q15724548', u'http://www.wikidata.org/entity/Q15724548', u'http://www.wikidata.org/entity/Q15724548', u'http://eprints.soton.ac.uk/id/publication/ext-01411136', u'http://eprints.soton.ac.uk/id/publication/ext-0ac80f9dbadae65ebfaf8fe56d155059', u'http://lod.b3kat.de/title/BV002679021', u'http://lod.hebis.de/resource/06541407', u'http://id.loc.gov/authorities/names/nb2004307963']"
Marketing letters,0923-0645,1573-059X,2,1,Økonomisk-administrative fag,954,76,7.0,76.0,"[u'http://ld.zdb-services.de/resource/1478939-5', u'http://ld.zdb-services.de/resource/1031012-5', u'http://rae2001.rkbexplorer.com/id/resource-Journal-marketing_letters:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-marketing_letters:1998', u'http://wikidata.dbpedia.org/resource/Q15755756', u'http://era.rkbexplorer.com/id/ERAID-19846', u'http://lobid.org/resource/ZDB1478939-5', u'http://lobid.org/resource/HT004521267', u'http://lobid.org/resource/ZDB1031012-5', u'http://www.wikidata.org/entity/Q15755756', u'http://www.wikidata.org/entity/Q15755756', u'http://lod.hebis.de/resource/07580365', u'http://eprints.rkbexplorer.com/id/bath/journal-99c929f1657545ba6024e66eebb86e65', u'http://wikidata.dbpedia.org/resource/Q15755756', u'http://wikidata.dbpedia.org/resource/Q15755756', u'http://lobid.org/resource/HT006190826', u'http://lobid.org/resource/HT007821886', u'http://lobid.org/resource/HT006863231', u'http://lobid.org/resource/HT004521252', u'http://www.wikidata.org/entity/Q15755756']"
Materials and Manufacturing Processes,1042-6914,1532-2475,1,2,Tekn - Maskinteknikk,1512,111,10.0,100.0,"[u'http://ld.zdb-services.de/resource/2062557-1', u'http://www.hero.ac.uk/rae/#Journal-materials_and_manufacturing_processes:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-materials_and_manufacturing_processes:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-materials_and_manufacturing_processes:1998', u'http://wikidata.dbpedia.org/resource/Q15750449', u'http://wikidata.dbpedia.org/resource/Q15750449', u'http://era.rkbexplorer.com/id/ERAID-3642', u'http://lobid.org/resource/ZDB1043958-4', u'http://lobid.org/resource/ZDB2062557-1', u'http://lobid.org/resource/ZDB2062557-1', u'http://www.wikidata.org/entity/Q15750449', u'http://www.wikidata.org/entity/Q15750449', u'http://www.wikidata.org/entity/Q15750449', u'http://lod.hebis.de/resource/10175595', u'http://ld.zdb-services.de/resource/1043958-4', u'http://www.hero.ac.uk/rae/#Journal-materials_and_manufacturing_processes:2000', u'http://wikidata.dbpedia.org/resource/Q15750449', u'http://wikidata.dbpedia.org/resource/Q15750449', u'http://wikidata.dbpedia.org/resource/Q15750449', u'http://era.rkbexplorer.com/id/ERAID-3642']"
"Materials transactions, JIM",0916-1821,,2,1,Tekn - Materialteknologi,165,8,0.0,8.0,"[u'http://www.crystallography.net/cod/1510336.html', u'http://ld.zdb-services.de/resource/1014746-9', u'http://lod.hebis.de/resource/04853771', u'http://lobid.org/resource/ZDB1014746-9', u'http://lod.b3kat.de/title/BV002599480', u'http://www.crystallography.net/cod/1510332.html', u'http://lod.hebis.de/resource/04853771', u'http://lobid.org/resource/ZDB1014746-9']"
Max Planck Commentaries on World Trade Law,1574-907X,,2,1,Rettsvitenskap,386,7,0.0,7.0,"[u'http://lobid.org/resource/HT015050597', u'http://id.loc.gov/authorities/names/n2006019408', u'http://lobid.org/resource/HT015050597', u'http://lodlaundromat.org/.well-known/genid/61b33efa1a022c8e14f6dfe77a899a6d#1961471', u'http://lodlaundromat.org/.well-known/genid/61b33efa1a022c8e14f6dfe77a899a6d#250624', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#332200', u'http://lodlaundromat.org/.well-known/genid/61b33efa1a022c8e14f6dfe77a899a6d#1318564']"
Methods in Ecology and Evolution,,2041-210X,1,2,Biologi,1796,35,26.0,35.0,"[u'http://dbpedia.org/resource/Methods_in_Ecology_and_Evolution', u'http://dbpedia.org/resource/Methods_in_Ecology_and_Evolution', u'http://dbpedia.org/resource/Methods_in_Ecology_and_Evolution', u'http://dbpedia.org/resource/Methods_in_Ecology_and_Evolution', u'http://dbpedia.org/resource/Methods_in_Ecology_and_Evolution', u'http://lobid.org/resource/ZDB2528492-7', u'http://eprints.soton.ac.uk/id/publication/ext-2041210X', u'http://dbpedia.org/resource/Methods_in_Ecology_and_Evolution', u'http://dbpedia.org/resource/Methods_in_Ecology_and_Evolution', u'http://wikidata.dbpedia.org/resource/Q15710059', u'http://www.wikidata.org/entity/Q15710059', u'http://lod.hebis.de/resource/21868332', u'http://ld.zdb-services.de/resource/2528492-7', u'http://dbpedia.org/resource/Methods_in_Ecology_and_Evolution', u'http://rdf.freebase.com/ns/m.0g9yyn1', u'http://dbpedia.org/resource/Methods_in_Ecology_and_Evolution', u'http://dbpedia.org/resource/Methods_in_Ecology_and_Evolution', u'http://dbpedia.org/resource/Methods_in_Ecology_and_Evolution', u'http://dbpedia.org/resource/Methods_in_Ecology_and_Evolution', u'http://dbpedia.org/resource/Methods_in_Ecology_and_Evolution']"
Michigan Journal of International Law,1052-2867,,2,1,Rettsvitenskap,1024,69,11.0,69.0,"[u'http://ld.zdb-services.de/resource/2249454-6', u'http://ld.zdb-services.de/resource/1016344-x', u'http://eprints.rkbexplorer.com/id/ucl/journal-36aae14b8a08f247d16f236ee088a8a8', u'http://rae2001.rkbexplorer.com/id/resource-Journal-michigan_journal_of_international_law:1998', u'http://wikidata.dbpedia.org/resource/Q15758062', u'http://lod.hebis.de/resource/04853923', u'http://wikidata.dbpedia.org/resource/Q15758062', u'http://wikidata.dbpedia.org/resource/Q15758062', u'http://era.rkbexplorer.com/id/ERAID-33620', u'http://www.wikidata.org/entity/Q15758062S3D2B9B85-EA74-4A50-BA24-9E2091D79626', u'http://lobid.org/resource/HT013695937', u'http://lobid.org/resource/ZDB1016344-x', u'http://lobid.org/resource/HT006095264', u'http://lobid.org/resource/HT007136277', u'http://lobid.org/resource/HT008358211', u'http://www.wikidata.org/entity/Q15758062', u'http://www.wikidata.org/entity/Q15758062', u'http://www.wikidata.org/entity/Q15758062', u'http://www.hero.ac.uk/rae/#Journal-michigan_journal_of_international_law:1998', u'http://www.hero.ac.uk/rae/#Journal-michigan_journal_of_international_law:1998']"
Michigan law review,0026-2234,1939-8557,2,1,Rettsvitenskap,551,504,31.0,100.0,"[u'http://dbpedia.org/resource/Michigan_Law_Review', u'http://dbpedia.org/resource/Michigan_Law_Review', u'http://dbpedia.org/resource/Michigan_Law_Review', u'http://dbpedia.org/resource/Michigan_Law_Review', u'http://fr.dbpedia.org/resource/Hippophagie', u'http://dbpedia.org/resource/Michigan_Law_Review', u'http://dbpedia.org/resource/Michigan_Law_Review', u'http://dbpedia.org/resource/Michigan_Law_Review', u'http://wikidata.dbpedia.org/resource/Q6837591', u'http://dbpedia.org/resource/Michigan_Law_Review', u'http://fr.dbpedia.org/resource/Arr\xeat_Costa_contre_ENEL', u'http://wikidata.dbpedia.org/resource/Q6837591', u'http://wikidata.dbpedia.org/resource/Q6837591', u'http://dbpedia.org/resource/Michigan_Law_Review', u'http://era.rkbexplorer.com/id/ERAID-32907', u'http://fr.dbpedia.org/resource/Hippophagie', u'http://lobid.org/resource/HT005761286', u'http://lobid.org/resource/HT006055557', u'http://lobid.org/resource/HT006105686', u'http://lobid.org/resource/HT005761278']"
Namn och bygd,0077-2704,,2,1,Nordisk,975,296,13.0,100.0,"[u'http://ld.zdb-services.de/resource/1005854-0', u'http://sv.dbpedia.org/resource/Namn_och_Bygd', u'http://sv.dbpedia.org/resource/Namn_och_bygd_(tidskrift)', u'http://dbpedia.org/resource/Gaut/lang14', u'http://sv.dbpedia.org/resource/Namn_och_bygd_(tidning)', u'http://wikidata.dbpedia.org/resource/Q15754414', u'http://lod.hebis.de/resource/04852964', u'http://wikidata.dbpedia.org/resource/Q15754414', u'http://wikidata.dbpedia.org/resource/Q15754414', u'http://wikidata.dbpedia.org/resource/Q10594236', u'http://lobid.org/resource/HT005836184', u'http://lobid.org/resource/HT013728403', u'http://lobid.org/resource/HT002347405', u'http://lobid.org/resource/HT002347412', u'http://lobid.org/resource/HT002347423', u'http://lobid.org/resource/HT014580159', u'http://lobid.org/resource/HT002347403', u'http://lobid.org/resource/HT002347417', u'http://lobid.org/resource/HT002347426', u'http://lobid.org/resource/HT002347435']"
Nanostructured materials,0965-9773,1872-9150,2,1,Tekn - Materialteknologi,267,1547,0.0,100.0,"[u'http://ld.zdb-services.de/resource/2022503-9', u'http://cordis.rkbexplorer.com/id/project-5587833', u'http://lodlaundromat.org/.well-known/genid/ec504051f67f92ad7ff5d29bbd78533d#1057', u'http://id.loc.gov/authorities/subjects/sh93000864', u'http://www4.wiwiss.fu-berlin.de/bookmashup/subject/Nanostructured+materials', u'http://lodlaundromat.org/.well-known/genid/61b33efa1a022c8e14f6dfe77a899a6d#537917', u'http://lodlaundromat.org/.well-known/genid/61b33efa1a022c8e14f6dfe77a899a6d#676172', u'http://lodlaundromat.org/.well-known/genid/61b33efa1a022c8e14f6dfe77a899a6d#705914', u'http://lodlaundromat.org/.well-known/genid/61b33efa1a022c8e14f6dfe77a899a6d#945373', u'http://lodlaundromat.org/.well-known/genid/54f91b48faa3c70c4f13b73d32377450#1051974', u'http://lodlaundromat.org/.well-known/genid/54f91b48faa3c70c4f13b73d32377450#1055256', u'http://lodlaundromat.org/.well-known/genid/54f91b48faa3c70c4f13b73d32377450#106640', u'http://lodlaundromat.org/.well-known/genid/54f91b48faa3c70c4f13b73d32377450#1234898', u'http://lodlaundromat.org/.well-known/genid/54f91b48faa3c70c4f13b73d32377450#1447239', u'http://lodlaundromat.org/.well-known/genid/54f91b48faa3c70c4f13b73d32377450#1504036', u'http://lodlaundromat.org/.well-known/genid/54f91b48faa3c70c4f13b73d32377450#111610', u'http://lodlaundromat.org/.well-known/genid/54f91b48faa3c70c4f13b73d32377450#1494344', u'http://lodlaundromat.org/.well-known/genid/54f91b48faa3c70c4f13b73d32377450#1524165', u'http://lodlaundromat.org/.well-known/genid/54f91b48faa3c70c4f13b73d32377450#1528735', u'http://lodlaundromat.org/.well-known/genid/67e742a77956ac401c7d933374dedce4#787774']"
Nature Nanotechnology,1748-3387,1748-3395,1,2,Tekn - Materialteknologi,683,255,89.0,100.0,"[u'http://ld.zdb-services.de/resource/2267282-5', u'http://dbpedia.org/resource/Nature_Nanotechnology', u'http://dbpedia.org/resource/Nature_Nanotechnology', u'http://de.dbpedia.org/resource/Nature_Nanotechnology', u'http://dbpedia.org/resource/Nature_Nanotechnology', u'http://rdf.freebase.com/ns/m.0cfcj4', u'http://dbpedia.org/resource/Nature_Nanotechnology', u'http://dbpedia.org/resource/Nature_Nanotechnology', u'http://dbpedia.org/resource/Nature_Nanotechnology', u'http://dbpedia.org/resource/Nature_Nanotechnology', u'http://dbpedia.org/resource/Nature_Nanotechnology', u'http://dbpedia.org/resource/Nature_Nanotechnology', u'http://dbpedia.org/resource/Nature_Nanotechnology', u'http://dbpedia.org/resource/Nature_Nanotechnology', u'http://wikidata.dbpedia.org/resource/Q920399', u'http://dbpedia.org/resource/Nature_Nanotechnology', u'http://de.dbpedia.org/resource/Carbon_nanobud', u'http://ja.dbpedia.org/resource/\u30cd\u30a4\u30c1\u30e3\u30fc_\u30ca\u30ce\u30c6\u30af\u30ce\u30ed\u30b8\u30fc', u'http://wikidata.dbpedia.org/resource/Q920399', u'http://wikidata.dbpedia.org/resource/Q920399']"
